post,aspect,polarity
মাশরাফি ভাই আপনার জন্য ই রংপুরের সাপোর্ট করি।,sports,positive
তাহলে মাছের ব্যবসায় মনোযোগী হন।,other,neutral
"বতর্মান সময়ে কোন লোক যদি খারাপ তাকে খারাপ বলেনা, বলে সে আওয়ামিলিগ।",politics,negative
সংলাপ বাস্তবায়ন করা করা হচ্ছে গ্রেপ্তারের মধ্য দিয়ে,politics,negative
কোন ব্যাপার না খেলা হবে না আর,sports,negative
মানি না মানবো না,other,negative
আমরা হাসিনার কাছ থেকে ভাল কিছু আশা করি না,politics,negative
চলছে লড়াই চলবে।খালেদা জিয়া লড়বে।,politics,negative
বয়লার বিস্ফোরণে সৃষ্ট অাগুন ২৩ ঘণ্টা পরেও নেভেনি।,other,negative
সংলাপ মানে না,politics,negative
"হ্যা যেন বিরোধীদের গুম, দমন করা যায়",other,negative
আল্লাহগো যারা অজ্ঞ তাদের বিবেক দাও।,religion,positive
উন্নয়নের ধারা অব্যহত রাখতে আওয়ামীলীগ সরকারের উন্নয়ন ও সাফল্য,politics,positive
ফরিদপুরের ভাঙ্গা উপজেলার আজিমনগর ইউনিয়ন থেকে র‌্যাব পরিচয়ে চার যুবককে তুলে নিয়ে যাওয়ার অভিযোগ উঠেছে,other,negative
অভাস কি পালটানো যাই,other,neutral
"শেখ হাসিনা দেশ চালায় আর ঐক্যফ্রন্ট শান্তিতে ঘুমায়,গনভবনে মেজবানি খায়।",politics,neutral
আল্লাহ উনাকে হায়াতে তাইয়েবা দান করুক,religion,positive
সঠিক সিদ্ধান্ত ঢাকা নিয়ে ভাবতে হবে,other,positive
আল্লাহ তায়ালা চিরঞ্জীব,religion,positive
বিক্রি টা কবে হলো।,other,neutral
দিধা-বিভক্ত নয় একতাবধ্য বাংলাদেশের নাম মাশরাফি।,sports,neutral
সব আল্লাহর ইচ্ছা,religion,positive
রশিদের বয়স তো ১২ হবে,other,neutral
ওয়েস্ট ইন্ডিজ গেল ম্যাশ,sports,neutral
এর মাধ্যমে খালেদা স্বীকার করলেন তিনি দুর্নীতি করেছেন,politics,negative
এসব মগের মুল্লুক!,other,negative
ওনারা বাপ বেটা এখন চামচামি করতাছে।,other,negative
গণতন্ত্র ছাড়া সুশাসন আসবে কোথা থেকে!!!,politics,negative
অন্যের বানানো বলে যার গোল করার অভ্যাস সে কিনা পছন্দের লিষ্ট করে?!!!!!!!,sports,neutral
নিশ্চয় ইশ্বরই মহাবিশ্বের সৃষ্টির মূল !,religion,positive
"বায়ার্নের খেলা আমিও দেখেছি,ওরা যে লীগে খেলে কি আর বলবো।আর তাদের খেলার ধরণ একদম পছন্দ না আমার",sports,negative
কবি নজরুল বিশ্ববিদ্যালয়ে ভর্তিতে প্রতি আসনের জন্য লড়বেন ৩০ জন,other,neutral
চোরে না শুনে ধর্মের কাহিনী।,other,negative
"মহান মানুষ,, আমার ভাই মাসরাফি।",sports,positive
সেন্টমার্টিনের অদূরে সাগরে কোস্টগার্ড সদস্যরা অভিযান চালিয়ে বাংলাদেশি ছয় দালালসহ মালয়েশিয়াগামী ৩৯ রোহিঙ্গাকে আটক করেছে।,other,negative
আপনিতে মিয়া ছিলেন বাতিল মাল!!,other,neutral
সংবিধান কি কোরান না বাইবেল যে সুষ্ঠু নির্বাচন এর জন্য পরিবর্তন করা যাবেনা।,politics,negative
"ধ্বংসস্তুপের মধ্য থেকে ফিনিক্স পাখি হয়ে পুনর্জন্ম নিয়ে ফিরে আসো, হে প্রিয় সাকিব, ততোদিন পর্যন্ত আমরা তোমার-ই অপেক্ষায় থাকবো ।",sports,neutral
আল্লাহ উনাকে উত্তম হায়াত দান করুক,religion,positive
এই অবৈধ সরকার এখন নিজের ছায়া দেখেও ভয়ে আঁতকে ওঠে !!!,politics,negative
আয় রে হারামজাদা,other,negative
১৪৪ ধারা জারি করে আমার মনে হয় কোন লাভ হবে না,politics,negative
দয়া করে জনগনের বিরুদ্ধে যাবেন না,other,positive
তাদের সঠিক বুজ দান করুন আমিন।,religion,positive
বর্তমান সময়ে আপনাকে মুসলিম হিসাবে পেয়ে ধন্য,religion,positive
ভোট নিয়ে তামাশা শুরু।,politics,negative
শক্তি থাকলে সব হয়।,other,positive
নির্বাচনী পর্যবেক্ষক সংস্থা হিসেবে 'অধিকার' এর নিবন্ধন বাতিল করেছে নির্বাচন কমিশন।,politics,negative
"বার্সার খেলা আর আগের মতো নাই,",sports,negative
পাঠায় আর কিকইব সরকার যেটা শিখিয়ে দিবে তা বলবে,politics,negative
"ফিফা'র উচিৎ অন্তত আলাদা একটা আয়োজন করে মেসিকে একটা বিশ্বকাপ ধরিয়ে দেওয়া, তবে খেয়াল রাখতে হবে সেই খেলা যেন আর্জেন্টিনা বনাম আর্জেন্টিনা হয়!",sports,neutral
দুইটাই পিউর মুনাপিক,other,negative
"হেডাম নেই, জামায়াত ছাড়া উপায় নেই",politics,negative
এটা তো পুসা কুত্তা,other,negative
উন্নয়নের ধারা অব্যাহত রাখতে নৌকা মার্কায় ভোট দিন,politics,positive
আন্দোলন আন্দোলন বলে হোদাই সময় নষ্ট করতেছেন কেনো,other,negative
বিতর্কীত এই ইমাম কি এখন সি ই সি এর দায়িত্বে আছেন নাকি,politics,negative
ইতিহাস থেকে জাতীয় বেইমান নামটা আর গেলো না।,other,negative
আহলে ভন্ড ও সহিহ গিবতকারি,religion,negative
নাইমকে দিলে ভাল হত ম্যান ওফ দ্যা ম্যাচটা,sports,
বাংলা দেশ থেকে মালুদের বিতারিতো করা উচিত,other,negative
যুক্তরাষ্ট্রের কংগ্রেসে প্রথম মুসলিম নারী হিসেবে নির্বাচিত হয়েছেন রাশিদা তালিব ও ইলহান ওমর,politics,positive
নৌকায় ভোট দিন।,politics,positive
পরে ওর মেয়ের সাথে ইটিস পিটিস করবে।,other,negative
হারাম কাজকে উৎসাহিত করলে ইমান থাকেনা,religion,negative
নাস্তিকের বাচ্চা এটা যে আওয়ামীলীগের প্রভাবশালী নেতা গোটা জাতি জানে,religion,negative
এই সংখ্যা লঘু হারামজাদা এখনো ক্যাম্পাসে কেন?,other,negative
দালাল যুগান্তর বেশ্যার মত লিখা শুরু করলি কারন কি?,other,negative
দালালদের চিনে নাও,other,negative
সরকা‌রের অ‌দি‌নে নির্বাচন নয়,politics,negative
সোহরাওয়ার্দীতে ঐক্যফ্রন্টের সমাবেশ সুন্দরভাবে সফল করায় প্রধানমন্ত্রীর ধন্যবাদ,politics,positive
ভারত ই জিতবে।,sports,positive
কৃষিবিদদের গ্রেফতার করে করে কৃষিতে উন্নয়ন করতে চায়!,other,negative
হাসিনা চায় দেশে গৃহযুদ্ধ বাধুক আর রক্তের বন্যা বইয়ে যাক যেটা দেখে তার মন প্রশান্তিতে ভরে যাবে,politics,negative
কিছু আবাল আছে আওয়ামী লীগের মধ্যে কোন কিছু না যেনে শুনে দুম করে একটা প্রসঙ্গ তুলে ফেলে,politics,negative
সালা মাগি দালাল কি বলে,other,negative
"কি হবে না অথবা হ্যাঁ বলে,যদি এর কোন মূল্যেই না থাকে।",other,negative
আল্লাহু আকবর। একজন হিন্দু এই মাত্র মুসলিম হয়ে গেল।,religion,positive
"আমার প্রিয় ক্রিকেটার মুশফিক ভাই,,,",sports,positive
ধিক্কার জানাই তাদের যারা মানুষ হত্যার রাজনীতি করে।,politics,negative
গণভবনে দেয়ালের পাশে বাঁশ কেন?,politics,neutral
বাট ডিফেন্স আসলেই কুতকুত খেলবে!!,sports,neutral
আপনার চেয়ে তামিম সেরা সবচেয়ে বেশি রান তামিমের এবং তাকেই ক্যাপ্টেন দিলে মানাবে,sports,positive
"হাসিনা হলো শুয়োর যত মারবেন তত খুশি, তার কুনো লজ্জা শরম নাই",politics,negative
সালার চোর আর কতো নাটক করবি,other,negative
নিরপেক্ষ সরকারের অধীনে নির্বাচন দাবি করছি,politics,positive
এই হারামজাদা তু নমরুদ ফেরাউনের মতই জগন্য...,other,negative
আজ ভাল কিছু আশা করছি,other,positive
আল্লা জাকির নায়েকের হায়াত দান করুন আমিন।,religion,positive
মাশরাফির পাশে ওকে শিশু মনে হচ্ছিল,sports,neutral
হুজুর বিছানাতে শুয়ে কোরআন তেলাওয়াত করা যাবে,religion,neutral
তার আঙুলের চোটের অবস্থা ক্রমেই উন্নতির দিকে।,sports,positive
শবে বরাত নিয়ে কিছু বলেন,religion,neutral
এই খানকীর স্কুলে শিক্ষকতা করার কোন যোগ্যতা নাই,other,negative
ছেলে হোক মেয়ে হোক দু টি সন্তান যতেষ্ট একটি হলে ভালো হয় ৷,other,positive
মার্কা আমার ধানের শীষ,politics,neutral
১৬ জেলায় বিএনপির ৭২ নেতাকর্মী গ্রেফতার,politics,negative
"ফাইনালের স্বপ্নতো বহুদুরের কথা,,",sports,neutral
মিথ্যা মামলায় একদিনও মানিনা এসবের প্রতিশোধ নেওয়া হবে।,politics,negative
"জিম্বাবুয়ে দারুণ ফাইট করেছে, তাঁদের প্রশংসা করা উচিত।",sports,positive
বেগম খালেদা জিয়ার মুক্তি চাই,politics,positive
আসলে আযহারী সাহেবের কথা শুনলেই যেন মনে হয়,religion,positive
"কিসের ঐক্য কিসের জোট এইবার দিবো হাতপাখা ভোট,",politics,neutral
দুই যুগ পার হওয়ার পরও এর সঙ্গে তুলনীয় সাফল্য পায়নি পাকিস্তান ক্রিকেট।,sports,negative
এইটা হাইস্যকর,other,neutral
মাশরাফি মাশরাফিই তার সাথে কারো তুলনা হয় না।,sports,negative
হে আল্লাহ তুমি তার সােথ থাক।,religion,positive
নির্বাচন কমিশন নিরপেক্ষ ও স্বাধীন নয় ।,politics,negative
উচলে দেখবেন ফার্স্ট হাফেই ইঞ্জুরি হবে,sports,neutral
২৩শে ডিসেম্বর হেট্রিক ডে,other,neutral
মিথ্যা হয়রানি করে তাদের সত্যের পথ থেকে সরানো যাবেনা।,other,neutral
জাতির সাথে তামাশা,politics,negative
বিরোধী দল কোথায় পেলেন। সবাই তো সরকারে আছে।,politics,neutral
শুয়োরের বাচ্চা সব সময় মিথ্যা কথা বলে,other,negative
নাস্তিকদের প্রয়াত জনক!,religion,negative
যাদের নিজেদের মধ্যেই সমন্বয় নেই তারা করবে রোড মার্চ ?,other,negative
সেটা আনেক ভালকাজ,other,positive
এরা সকালে একটা বিকেলে আরেক কথা বলে।,other,negative
সকল প্রশংসা আল্লাহ পাকের,religion,positive
"বিএনপি, খমতায় আসলে আঃলীগ ও শেখ মজিবের নামও মুছে ফেলা উচিত।",politics,negative
এরকম বেহায়া নোংরা পশ্চাত্পদ জাতি,politics,negative
"সবতো লা-লিগায় নিয়ে আসতেছে, গোল্ডেন বুট, ব্যালন ডি আর, প্লে মেকার একযুগ ধরে লা-লিগায় একাই শাসন করে আসতেছে।",sports,neutral
"আজাইরা আবদার, এগুলো রিয়াল মাদ্রিদ এর জন্য না",sports,negative
মাসুদা ভাট্টির স্বামীরা মাইনুল কে কি করবে।,other,negative
এজন্যই আপনি কিংবদন্তি ম্যাশ,sports,positive
আলহামদুলিল্লাহ খুবই খুশির খবর আমিন ।,religion,positive
নিরপেক্ষ সরকারের অধীনে নিবার্চন হবে।,politics,positive
ক্ষমতা চিরস্থায়ী নয়।।,politics,neutral
তিন ফরমেটের ক্যাপ্টেন হলে তিন ফরমেটেই জয় আসবে,sports,positive
ছোট তেলবাজ টা কৈই,other,negative
বিজিবি’র ৮৮তম ব্যাচে প্রথম ৯৭ নারী সদস্য দেশের সার্বভৌমত্ব রক্ষায় নারী সৈনিক,other,neutral
নির্বাচন এর ফলাফল প্রকাশ হবার আগেই হয়তো খবর এর শিরোনাম হবে আজ অর্থ মন্ত্রী ইন্তেকাল করেছেন।,politics,negative
তর মুখে পেসাব করি,other,negative
"বিএনপি ধ্বজ ভঙ্গ রুগি নিয়ে জোট করবে, দেখা যাক তারা রাজপথে খারাইতে পারে কিনা ?",politics,negative
এই জানোয়ার ইসলামের চূড়ান্ত দুশমন।,religion,negative
ইসলামে মৌলিক প্রথা কোনটা?,religion,neutral
এটা হতে পারেনা।,other,negative
আল্লাহ আপনাকে নেক হায়াত দান করুন,religion,positive
"ওরা দালালি করছে,",other,negative
আজিমকে অন্যত্র হত্যা করে রাতের আঁধারে তার মরদেহ পুকুর ধারে কাদাপানিতে ফেলে রেখে যায় হত্যাকারীরা।,other,negative
আপনি জাতির শত্রু।,politics,negative
পুরাই বাটপার চৌধুরী,other,negative
আবারো পাগলের পরিচয় পাওয়া গেল,other,negative
ঘাড়তেড়া সরকারের অধীনে বাস করছি।।,politics,negative
আমরা আর জজ মিয়া নাটকের দৃশ্য দেখতে চাইনা,other,negative
আপনিত পাগল পার্টির লিডার,politics,negative
মাশরাফি মানেই এক অপরাজিত যোদ্ধা।,sports,positive
"আমি মন থেকেই চাই,সাকিব এই দেশের হয়ে অন্তত ক্রিকেটে না ফিরুক।",sports,negative
বাংলাদেশ নাকি ভারতের পাশে আছে?,other,neutral
এসব জনগণ আর খায়না।,politics,negative
"ম্যাশকে ভালোবাসি তাই আমার খুলনার পরে রংপুরের সাপোর্ট করি,ম্যাশের কারনে কুমিল্লার সাপোর্ট ও করেছি দু বছর।",sports,positive
আল্লাহ ওনাকে নেক হায়াত দান করুক,religion,positive
জাকিরের সাতে সমস্ত আরবদের সাতে মিল,religion,positive
হাচিনা মার্ক নির্বাচন জনগণ চায় না।,politics,negative
আইন পাস করলেই হবে না কাজকর করতে হবে,other,neutral
তারপরও ধার্মিকরা ভাল,religion,positive
হাসিনার অধীনে কোন নির্বাচন মানিনা,politics,negative
"ইসলাম ধর্ষন ও বলাৎকারের ধর্ম, কোপাকুপি-চাপাতির ধর্ম।",religion,negative
জনগন আরও একটা ৭৫ দেখবে হয়ত!!!!,politics,neutral
গৃহ পালিত পার্টি।,politics,negative
"কুত্তার বাচ্চা গাঞ্জা সিদ্ধ করে খেয়ে রিপোর্ট লিখছিস নাকি,তোদের জন্মের ঠিক নাই,",other,negative
এ তফসিলেই সুষ্ঠু নির্বাচন সম্ভব: জাতীয় পার্টি,politics,neutral
"সমস্যাটা রাজপথের সমাধান ও রাজপথে, এসি রুমের প্রাসাদে সমাধান অসম্ভব",politics,negative
মাশা~আল্লাহ্ এতদিন পর ভালো কিছু দেখতে আমার ভাগ্য হলো,religion,positive
"সংবিধান সংশোধন যোগ্য নয়, ইহা আসমানী কিতাব, যা সংশোধন করা কবিরাজ গুনাহর শামিল!",politics,negative
বাকশাল থেকে শিক্ষা নিয়েছে তারা কখনও গনতন্ত্র কি সেইটা চিনেনা,politics,negative
এটা কোন ব্যাপার না,other,positive
সাভাস হয়েছে বাহাদু,other,positive
"যুগান্তর হলো একটা ইতর শ্রেনির পত্রিকা,,,",other,negative
"সাকিবের চুরির প্রতি সমর্থণ আরো বেশি হতাশায় ফেলেছে জাতীকে, তার জায়গা হলে আশরাফুল কি দোষ করেছে??",sports,negative
অন্যের দালালী করবেন না।,other,negative
আপনার আর কোনো বিকল্প পথ খোলা নেই,other,negative
ডেম্বলে অর্ধেক সীজন ইঞ্জুরিতেই থাকে,sports,neutral
বেশিরভাগ লোকই পথ ভ্রস্ট আর পথ ভ্রস্ট রাই টাই পিরের মুরিদ,religion,negative
দালালে আর কি নতুন করে বলবে ????,other,negative
আরে বুদাই এটা বলছে জিব্রাইল আ:আল্লাহর পখখ থেকে বানি নিয়া আসতেন,religion,positive
শেখ হাসিনার অধীনে নির্বাচন চাই না,politics,negative
আলেমরাই সমাজের শ্রেষ্ঠ মানুষ।,religion,positive
আমাগো জামাত জঙ্গিগোষ্ঠীর প্রধান নেত্রী খালেদা জিয়া চুর চুর চুর,politics,negative
নির্বাচনের নামে হাজার কোটি খরচ করা অপচয় ছাড়া কিছু নয়।,politics,negative
"প‌তিতারা এখন খদ্দর নি‌য়ে ব্যস্ত, ,!,?!",other,negative
বি এন পি না আসাই ভাল,politics,neutral
"বস কে যেভাবে চাপ প্রয়োগ করে থেকে অবসর করানো হয়েছে এগুলো সবই তার জবাব, কড়া জবাব! যা আগামীতেও অব্যাহত থাকবে ইনশাআল্লাহ",sports,positive
আসসালামুয়ালাইকুম হুযুর নামাজে হাত কোথায় বাধবো এর সম্পর্কে কিছু বললে ভালো হতো,religion,positive
এখানেও আবালরা বিভাগ চায়,other,negative
"ডেম্বুজকে বলবো ভাই,তুই অন্তত আমাগেরে ৩টা ম্যাচ খেলে দে!",sports,neutral
আমার তো আর দোজখ ছাড়া গতি নাই দ্যাখতেছি,religion,negative
এত টাকা নষ্ট করে নির্বাচন করার কি দরকার,politics,negative
ঈদে দুই প্রজন্মের দুই নায়িকাকে নিয়ে ফেরদৌস,other,neutral
"মেসি ১এ সেটা ভালো কথা, তবে রোনালদো ৫এও নেই সেটা ভালো লাগলো না",sports,negative
ইয়া আল্লাহ! আপনি ডাঃ জাকির নায়েক কে হায়াতে তৈয়্যেবা দান করূন (আমিন),religion,positive
ইতিহাসে কোন স্বৈরাচার স্বসম্মানে ক্ষমতা ছাড়েনি,politics,negative
জনগণ যাতে সুষ্ঠভাবে ভোট দিতে পারে সে ব্যবস্থা জনগণকেই উদ্যোগ নেওয়া উচিত,politics,positive
এ কেমন বিচার চেতনা দেখি এখন ফুটবলের উপর ও হানা দিয়েছে,sports,neutral
সংবিধান তিন বেলা খাও,politics,negative
"যে কোন ম্যাচই এরকম টানটান উত্তেজনায় রুপ নিতে পারে খুব সহজে,,",sports,neutral
ঠিক হয় নি,other,negative
"অলায়কুম অ আস্ সালাম,ওয়া রাঃ অয়া বাঃ",religion,positive
যদিও আমাদের দেশের হানাফি আলেমরা সিজদায় মাতৃভাষায় দোয়া করার বিপক্ষে,religion,negative
আলহামদুলিল্লাহ খুব সুন্দর,religion,positive
"নবম শ্রেণীর ছাত্রের চরিত্র যদি এমন হয় তাহলে, জাতি এদের কাছে কি আশা করতে পারে??",other,negative
জনাব রাবিশ মালকে বলি ভ্যাট দিতে আপওী নাই কিনতু ব্যাংক লুট টাকা পাচার লোন খেলাপি এদের তো বিচার দেখলামনা তাহলে ভ্যাট কি জন্য দিবো,politics,negative
এর চেয়ে ভালো কথা আর হতে পারে না,religion,positive
রক্ত দিয়ে অর্জিত স্বাধীনতা আজ হুমকির মূখোমূখী--,politics,negative
কুমিল্লা থেকে আলহামদুলিল্লাহ,religion,positive
জামাতি রাজাকারদের গণহত্যা চাই,politics,negative
কিছুই বুজলাম না,other,negative
কথা পরিষ্কার করে বলুন,other,negative
আল্লাহুম্মা ইন্নাকা আফুউং তুহিব্বুল আফওয়াফাওফু আন্না|,religion,positive
এরা সবাই ছাত্র লীগের কর্মী হয়ে কাজ করবে,politics,neutral
খানকির বাচ্চা তোদের জন্মের দোষ আছে,other,negative
আল্লাহ আৃমাদর রক্ষা কর।,religion,positive
আপনারা জট পাকাইতে থাকেন,other,negative
হাসিনার পালা শেষ।,politics,negative
সুবহানাল্লাহ অসাধারণ ভাই,religion,positive
একমাত্র আল্লাহ ছাড়া যখন সবকিছু ধবংস হয়ে যাবে !!,religion,negative
দেশের মানুষ তাকিয়ে আছে জামায়াতে ইসলামীর দিকে,politics,positive
ঢাকার সাপোর্টার অথচ মন পরে থাকে রংপুর এ।এ,sports,neutral
এত ঘন ঘন সিদ্ধান্ত চেঞ্জ কর‌লে অা‌ন্দোলন ক্যাম‌নে হ‌বে,politics,negative
কথা ও কাজে মিলনাই কেন?,other,negative
নেশার ঘোরে পরপর ১৮টি গাড়িতে আগুন লাগিয়ে দিল সে।,other,negative
উনি শেষ পর্যন্ত পালিয়ে যাবেন,other,negative
কর দেয়া অবশ্যই উচিৎ,other,positive
"বিকালে প্রধানমন্ত্রী কথা দিয়েছিলেন, সাকিবের পাশে থাকবে বিসিবি, হ্যাঁ, কথা রেখেছে।",sports,positive
"আমরা তার মত গাঁজা খেয়ে টাল হয়ে থাকিনা,,যে মাতালের মত আবল তাবল বলে যাবো!",other,negative
জুয়ারির প্রস্তাব না রাজি হওয়ায় বহিস্কার সাকিব আল হাসান।,sports,negative
আসসালামু আলাইকুম আমার প্রিয় ভাই ও বোনেরা,religion,positive
জাতি তারে লইয়া কি করবে…....,politics,neutral
বাংলাদেশের গৌরব মাশরাফি উনার খেলা আমার অনেক ভালো লাগে,sports,positive
স্বাধীন রাষ্ট্র তর বাবার মালাউন,politics,negative
তফসিলের পর আপনিও তো সাধারন পাবলিক্।,politics,neutral
সমস্ত প্রশংসা মালিক এক অাল্লাহ,religion,positive
হুম উনার ঠিকই বলছেন,other,positive
খানকির পোলা জারজ সন্তান,other,negative
"৭ দল মানে মানে মাশরাফি,মাশরাফি মানে ১৬ কোটি ভালবাসা , সুবাশিস ছাড়া",sports,neutral
আসুন গেমসের মত কোরআনের অর্থ শিখি খুব সহজে কিছু এন্ড্রয়েড এপস দিয়ে,religion,positive
তাঁর বিদেহী অাত্নার মাগফিরাত কামনা করছি।,other,positive
"আমি চাই না,",other,negative
বঙ্গবন্ধু শেখ মুজিব মেডিকেল বিশ্ববিদ্যালয় হাসপাতাল থেকে বিএনপি চেয়ারপারসন খালেদা জিয়াকে নাজিমউদ্দিন রোডের পুরোনো কারাগারে ফিরিয়ে নেয়া হয়েছে।,politics,neutral
মাশরাফি সেরা ছিলো সেরা আছে এবং আজীবন সেরা থাকবে,sports,positive
মোজাম্মেল হক মুক্তি পেলেন।,other,positive
কিছু দিন পর আবার তফসিল ঘোষণা হবে,politics,neutral
"রোনালদো আমাদের মনে জায়গা করে নিয়েছে, সে লাস্ট হলেও সমস্যা নেই।",sports,positive
রাজপথে নামতে হবে।,other,negative
রেহিঙ্গাদের জন্য সহায়তাসহ দুটি প্রকল্পে সহায়তা দিচ্ছে বিশ্বব্যাংক,other,positive
শফি দালালেরা ইতিহাসের মিরজাফর হয়ে বেচে থাকবে..,other,negative
ইসির তফসিল ঘোষণায় আ’লীগের সমর্থন,politics,negative
সামনে আসছে বিক্ষোভ কর্মসূচি বি এন পি,politics,negative
জন গন ভোট দিতে চায়,politics,positive
তোর বউরে জনগনরে দিলে সহযোগীতা করবে।,other,negative
ফুটবলের বিরুদ্ধে আমরা সকল আর্জেন্টাইন সাপোর্টাররা আন্তর্জাতিক আদালতে মামলা করবো।,sports,negative
মানুষ যেমন সৃষ্টির সেরা !,other,positive
ভালো লাগে তোমারে,other,positive
আল্লাহর কোরআনকে মিথ্যে বানোয়াট বলছে,religion,negative
সার আপনার নামে আগে কেনো মোহাম্মদ নাই কেনো এবং শেষে নায়ক কেনো,religion,positive
আর তোমরা বাঙ্গালীরা ঘরে বসে আঙ্গুল চুষো।,other,negative
খা শালারা ইয়াবা খা!!!,other,negative
এই চটি ইমাম মানে বুঝলাম না!!!,politics,negative
"এই পিচে রান করা কঠিন, তারপর ও তামিম ভাই, আর এমপি সাহেব খেলাইছে।",sports,neutral
জীবনের প্রথম ভোট! মনে হয় দিতে পারবোনা!,politics,negative
আমি সিলেটের সাপোর্ট করি.,sports,positive
"সা‌কি‌ব ভাই এর ক্যা‌রিয়া‌রটাই শেষ, ওর কোন আ‌র্থিক সমস্যা হ‌বেনা জা‌নি, ত‌বে বাংলা‌দেশ‌কে আর টাইগার্স উইন দ্যা ম্যাচ বল‌বেনা",sports,negative
"এমবাপ্পের সাথে দৌড়ে ওদের ডিফেন্ডাররা পারেনি,",sports,negative
তামিম ইকবাল এই ধরা অব্যাহত থাকে যেন তোমার,sports,neutral
"মাশরাফি কোটি মানুষের হৃদয়ের স্থান করে নিয়েছিল,কিন্তু রাজনীতি তে নয়।",sports,negative
এ সব মতামতকে তারা পাত্তা দেয় না,other,negative
নিয়ত শব্দের প্রকৃত অর্থ 'অন্তরের যাবতীয় কার্যাবলী',religion,neutral
গতকাল সমাবেশকে কেন্দ্র করে ৮শ র বেশি বিএনপির নেতাকর্মীকে গ্রেফতার করে অাপনার পুলিশ,politics,negative
এটা ভালো খবর।,other,positive
আগুন লাগানো শুরু হোয়েছে।,other,negative
আওয়ামীলীগ চোর ভোট চোর,politics,negative
গুরূত্বপূর্ণ নেতার বক্তব্যর সময় টোকন দেয়া নিকৃষ্ট কাজ,politics,negative
"ঈদ মুবারক, শুভেচ্ছা অনেক।",religion,neutral
বাংলাদেশ চিরজীবন তোমার মনে রাখবে।,sports,neutral
ভালো তালের কথা জানেন।,other,positive
হাসিনার কুত্তারা কমেন্ড করতেছে।,politics,negative
আপনাদের ইচ্ছার প্রতি ফলন ঘটান।,other,positive
বিতিরের নামাজ কয় রাকাত,religion,neutral
সম্মান করলে সম্মান পাওয়া যায়।।,other,positive
হাত পাখা ছাড়া বি কল্প কোন পথ নেই,other,negative
এবার বাংলাদেশ জিতবে,sports,positive
সব শালারে পানিতে চুবা,other,negative
ও একটা বলদ,other,negative
যেহেতু অবিচার হয়েছে  একটি বিশ্বকাপ বানিয়ে মেসির বিদায়ী ম্যাচে সেটি উপহার হিসেবে দিতে পারে - তুমি পারোনি তাই বলে আমরা দিবনা,sports,negative
"অনেক অভিনন্দন ম্যাশ,,",sports,positive
"এখনতো ভোট মানে আমার ভোট আমি দিবো, তোমার ভোটও আমি দিবো, সব ভোটই নৌকায় দিবো।",politics,negative
কোরানে সুস্ঠ ভাবে বলা হয়েছে নামাজ ৫ রাকাত ৫ নবীর মধ্যামে ৫ রাকাত নামাজ নাজিল হয়েছে।,religion,positive
"এবার আমাদের রোনালদো না থাকা অবস্থায়, তোমাদের মেসি না থাকা অবস্থায় পরিস্থিতি কেমন হয় সেটা দেখার অপেক্ষায় আছি",sports,neutral
প্রয়োজনে প্ল্যান বি করবো,other,neutral
ইন্না লিল্লাহি ওয়া ইন্না ইলাহি রাজিউন,religion,negative
হালারপুত পাগল নাকী,other,negative
টিভি বন্ধ কইরা রাখুম,other,neutral
নাস্তিকদের গালি দেওয়া সহজ,religion,negative
মিথ্যা অভিযোগে একটা ধর্মীয় চ্যানেল এতোদিন বন্ধ রাখার একটাই কারণ খুঁজে পাই,religion,negative
আজকে বস মাশরাফির ব্যাটিং দেখে সত্যি অভিভূত,sports,positive
এখানে ঐ ছাগু গুলোই হাসাহাসি করবে যাদের কাছে কাপটাই বড়।,sports,negative
বাল লীগের ভোট চুরির সংলাপ চলছে।,politics,negative
২০০কোটি ডলারের মুল্য ট্রাম্প প্রশাসন ঠিকই বুঝে,politics,neutral
আমরাভোট দিতে চাই আগের বার পারি নাই,politics,negative
বিএনপির রাজ নিতি ছেড়ে দেওয়াই ভালো,politics,negative
হারামজাদা দালালি করার আর জায়গা পায় না।,other,negative
শুভ কামনা অধিনায়ক.....,sports,positive
চাষাঢ়ায় ড্রোন দিয়ে ভিডিও করায় তিন যুবক আটক,other,negative
রউফ সাহেব আপনার মতো ফরিদ মারকা হুজুর যেখানে আছে সেই খানে সয়তানের দরকার হয় না।,religion,negative
"শিক্ষকের হাতে বেত নয় , ভালোবাসা চাই",other,positive
কদমতলিতে আবদুল্লাহ নামে সাত বছরের এক শিশুকে ইট দিয়ে মাথা থেঁতলে হত্যা করা হয়েছে,other,negative
তাকে জুতা মারা উচিৎ।,other,negative
মুসলিম ইমিগ্রান্ট যখন বিভিন্ন দেশ থেকে ঊন্নত বিশ্বে প্রবেশ করল তখনই ক্রাইম ক্রমান্বয়ে বারতে লাগল,religion,negative
৫৭ বছর সংলাপ করে ওয়াজেদ মিঞা কোন সমাধান পায়নি,other,negative
সারা জীবন শুধু দালালি করে গেলেন,other,negative
আমার প্রিয় নবী।,religion,positive
সাকিব ভাই এবং মুশফিক ভাই আপনারা দুইজন বাংলাদেশের গর্ব এবং অহংকার,sports,positive
জনগণ এখণ আর পাগল নাই৷,politics,positive
"ঢাকা ডায়নামাইটস হেরে যাওয়ায় এতোটা কষ্ট লাগেনি, যতটা আনন্দ লেগেছে ম্যাশের টিম জিতায়",sports,neutral
